TU	Promoter
ydaE	ydaEp5
kptA	
kup	kupp2
kup	kupp1
kup	kupp3
lacYA	lacYp
lacZYA	lacZp3
lacZYA	lacZp2
lacZYA	lacZp4
lacZYA	lacZp1
lafU	
ldcA	ldcAp9
ldcC	ldcCp
ldhA	ldhAp
ldrA	ldrAp8
ldrB	ldrBp5
ldrC	ldrCp4
ldrD	ldrDp
lepAB	lepAp
lepB	lepBp1
leuE	leuEp
leuE	leuEp4
leuD	leuDp4
leuL	leuLp
leuLABCD	leuLp
leuLABCD	leuLp2
leuO	leuOp2
leuO	leuOp1
leuO	leuOp
leuQPV	leuQp
leuV	leuVp2
cobC	cobCp6
cobC	cobCp7
leuS-lptE-holA-nadD-cobC	
leuX	leuXp
lexA-dinF	lexAp
lfhA	
lgt-thyA	
thyA	thyAp2
ligA-ypeB	ligAp
ligB	ligBp1
ligB	ligBp4
ligT	
lipA	lipAp
lit	litp8
lit	litp1
lit	litp9
livJ	livJp
livKHMGF	livKp2
livKHMGF	livKp1
lldPRD	lldPp
loiP	loiPp
lolA-rarA	lolAp
lolB-ispE-prs	lolBp
prs	prsp
lolCDE	lolCp5
lolCDE	lolCp6
lomR_2-stfR-tfaR	
lpcA	lpcAp1
lpoA	lpoAp2
lpp	lppp2
lpp	lpp
apaGH	apaGp
apaH	apaHp4
lptD	impp2
lptD	impp1
lptD-surA-pdxA	impp3
pdxA-rsmA	pdxAp
pdxA-rsmA-apaGH	pdxAp
rsmA-apaGH	rsmAp
surA-pdxA-rsmA-apaGH	surAp
lptFG	lptFp6
lptFG	lptFp5
lpxL	lpxLp
lpxM	lpxMp4
lpxP	lpxPp
lrhA	lrhAp
lrp	lrpp
lsrACDBFG-tam	lsrAp
tam	tamp
lsrK	
lsrRK	lsrRp
luxS	luxSp2
luxS	luxSp1
lysA	lysAp
lysC	lysCp2
lysC	lysCp1
lysP	lysPp
lysQ	
lysR	lysRp
lysT-valT-lysW	lysTp
lysU	lysUp1
lysU	lysUp2
lysZ	
maa	
macAB	
macB	macBp1
macB	macBp2
maeA	maeAp4
maeA	maeAp3
maeB	
mak	makp4
malEFG	malEp
malI	malIp
malK-lamB-malM	malKp
malPQ	malPp
malQ	malQp
malS	malSp
malT	malTp
malXY	malXp
malZ	malZp
manA	manAp
manXYZ	manXp
dapD	dapDp
glnD	glnDp
map-glnD-dapD	
marC	marCp
marRAB	marRp
matP	matPp
mcaS	mcaSp
mcbA	mcbAp5
mcbR	mcbRp3
mcrA	mcrAp7
mcrA	mcrAp10
mcrA	mcrAp8
mcrA	mcrAp9
mcrBC	
mcrC	mcrCp5
mdaB	mdaBp5
mdaB	mdaBp7
mdaB	mdaBp1
mdfA	cmrp2
mdfA	cmrp
mdh	mdhp1
mdh	mdhp2
mdlAB	
baeSR	
mdtABCD-baeSR	mdtAp
mdtG	
mdtH	
mdtJI	
mdtK	mdtKp9
mdtK	mdtKp10
mdtL	
mdtM-yjiN	
mdtNOP	
mdtP	mdtPp6
mdtQ	
melAB	melAp
melR	melRp
menA-rraA	menAp
menA-rraA	menAp1
rraA	rraAp
menBCE	menBp
menDHBCE	menDp
menFDHBCE	
mepH	ydhOp
mepM	yebAp5
mepM	yebAp6
mepM	yebAp1
mepS	mepSp
metA	metAp1
metA	metAp2
metBL	metBp
metC	metCp
metE	metEp
metF	metFp
metG	metGp
metH	metHp2
metH	metHp
metJ	metJp3
metJ	metJp2
metJ	metJp1
metK	metKp
metNIQ	metNp
metR	metRp2
metR	metRp1
glnW-metU-glnVX	glnWp
metT-leuW-glnUW-metU-glnVX	metTp
metY	metYp1
metY	metYp2
metY-rimP-nusA-infB	metYp1
metY-rimP-nusA-infB-rbfA-truB-rpsO-pnp	metYp1
metY-rimP-nusA-infB-rbfA-truB-rpsO-pnp	metYp2
pnp	pnpp
rimP-nusA-infB	rimPp
rpsO	rpsOp
rpsO-pnp	rpsOp
metZWV	metZp
mfd	mfdp2
mfd	mfdp1
mglAC	mglAp
mglBAC	mglBp
mglC	mglCp6
mglC	mglCp9
mglC	mglCp5
mgrB	mgrBp
mgrR	mgrRp
mgsA	mgsAp
mgtLA	mgtAp2
mgtLA	mgtAp1
mhpABCDFE	mhpAp
lacI	lacIp
mhpR-lacI	mhpRp1
mhpR-lacI	mhpRp
mhpT	mhpTp
miaB	
micA	micAp
micC	micCp
micF	micFp
micM	micMp
minCDE	
minE	minEp3
mipA	mipAp
mlaA	mlaAp
mlaFEDCB	
mlc	mlcp1
mlc-ynfK	mlcp2
ynfK	ynfKp6
ynfK	ynfKp5
mliC	
mlrA	mlrAp6
mlrA	mlrAp
mlrA	mlrAp9
mltA	mltAp6
mltB	
mltD	mltDp3
mltD	mltDp4
mltF	mltFp
mmuPM	mmuPp1
mmuPM	mmuPp2
mmuPM	mmuPp7
mmuPM	mmuPp6
mmuPM	mmuPp5
mnaT-ydcZ	
ydcZ	ydcZp1
mngAB	mngAp
mngR	mngRp
mnmA	mnmAp
mnmC	
mnmE	
mntH	mntHp
mntP	mntPp
mntR-ybiR	mntRp6
mntR-ybiR	mntRp5
mntR-ybiR	mntRp
mntR-ybiR	mntRp4
moaABCDE	moaAp2
moaABCDE	moaAp1
moaBCDE	moaBp
mobAB	mobAp1
mobAB	mobAp2
mocA	mocAp9
modABC	modAp1
modABC	modAp
modEF	
moeAB	moeAp
mog	
mokB	mokBp3
hokC	hokCp4
mokC-hokC	
molR_1	molR_1p
molR_2	
molR_3-yehI	
cheW	cheWp5
motAB-cheAW	motAp
mpl	mplp2
mpl	mplp1
mppA	mppAp4
mppA	mppAp13
mppA	mppAp5
mppA	mppAp9
mprA-emrAB	mprAp
mqo	mqop5
mqo	mqop8
mqo	mqop1
mqsA	mqsAp8
mqsA	mqsAp9
mqsRA	mqsRp2
mqsRA	mqsRp
ftsAZ	ftsAp1
ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	ftsLp1
ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	ftsLp2
ftsQ	ftsQp2
ftsQAZ	ftsQp1
ftsZ	ftsZp4
ftsZ	ftsZp3
ftsZ	ftsZp2
lpxC	lpxCp2
lpxC	lpxCp1
mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	mraZp
rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	mraWp1
mrcA	mrcAp
mrcB	mrcBp
mreB	mreBp2
mreB	mreBp3
mreB	mreBp1
mreBCD	mreBp2
mreBCD	mreBp3
mreBCD	mreBp1
mreCD	mreCp
mreD	mreDp2
mrp	mrpp7
mrp	mrpp2
mrr	
mscK	kefAp
mscL	mscLp
mscS	mscSp
msrA	msrAp
msrB	msrBp5
msrB	msrBp6
msrC	
msyB	msyBp
mtfA	mtfAp1
mtlADR	mtlAp
mtn-btuF-yadS	mtnp
yadS	yadSp6
yadS	yadSp7
yadS	yadSp5
mtr	mtrp1
mtr	mtrp2
mug	mugp6
murB-birA	
murJ	
murQP	murQp1
murQP	murQp2
murQP-yfeW	
murR	murRp
mutH	mutHp7
mutH	mutHp5
mutS	mutSp
mutY-yggX	mutYp2
mutY-yggX	mutYp1
mutY-yggX-mltC	mutYp2
mutY-yggX-mltC	mutYp1
mutY-yggX-mltC-nupG	mutYp2
mutY-yggX-mltC-nupG	mutYp1
nupG	nupGp
yggX	yggXp
yggX-mltC	yggXp
yggX-mltC-nupG	yggXp
nac	nacp
nadA-pnuC	nadAp
nadB	nadBp
nadC	nadCp
nadE	nadEp
nadK	nadKp2
nagA	nagAp
nagBAC-umpH	nagBp
nagC	nagCp2
nagC	nagCp1
umpH	umpHp
nagE	nagEp
nagK-cobB	nagKp3
nanA	nanAp
nanATEK-yhcH	nanAp
yhcH	yhcHp2
nanC	
nanCM	nanCp
nanCMS	nanCp
nanS	nanSp1
nanR	nanRp9
nanR	nanRp10
ccmABCDEFGH	ccmAp
ccmH	ccmHp1
napFDAGHBC	napFp3
napFDAGHBC-ccmABCDEFGH	napFp1
napFDAGHBC-ccmABCDEFGH	napFp2
narGHJI	narGp
narK	narKp2
narK	narKp1
narP	narPp
narQ	narQp
narU	narUp1
narU	narUp2
narXL	narXp
narWV	narWp
narZYWV	narZp
ndh	ndhp
ndk	ndkp4
gloA	gloAp
nemA	
nemR	
nemRA	nemRp
nemRA-gloA	nemRp
nepI	nepIp
nfo	nfop
nfrBA	
nfsB	nfsBp
nhaAR	nhaAp1
nhaAR	nhaAp2
nhaR	
nhaB	nhaBp7
nhoA	nhoAp2
nikABCDER	nikAp2
nikABCDER	nikAp1
nikR	nikRp
cysG	cysGp1
cysG	cysGp2
nirBDC-cysG	nirBp
nlpA	nlpAp
nlpC	nlpCp5
nlpC	nlpCp3
nlpD-rpoS	nlpDp1
nlpD-rpoS	nlpDp2
rpoS	rpoSp3
rpoS	rpoSp4
rpoS	rpoSp1
rpoS	rpoSp2
rpoS	rpoSp
nlpI	nlpIp2
nmpC	nmpCp
nohA-ydfN-tfaQ	nohAp
tfaQ	tfaQp6
nohB	
norR	norRp
norR	
norVW	norVp
nrdAB-yfaE	nrdAp
yfaE	yfaEp1
yfaE	yfaEp2
nrdDG	nrdDp
nrdG	nrdGp
nrdHIEF	nrdHp
nrdR-ribDE-nusB-thiL-pgpA	nrdRp
ribE-nusB-thiL-pgpA	ribEp
nrfABCDEFG	nrfAp
nsrR-rnr-rlmB-yjfI	nsrRp
yjfIJ	
nudB-yebC-ruvC	nudBp
ruvC	ruvCp
yebC-ruvC	yebCp
nudC-hemE-nfi	nudCp2
nudC-hemE-nfi	nudCp5
nudE	nudEp8
nudE	nudEp9
nudE	nudEp6
nudE	nudEp1
nudF-yqiB-cpdA-yqiA-parE	
nudG	nudGp3
nudI	nudIp3
nudK	
nuoABCEFGHIJKLMN	nuoAp1
nuoABCEFGHIJKLMN	nuoAp2
nuoMN	nuoMp
nuoN	nuoNp1
nupC	nupCp
nupX	
ogrK	ogrKp5
ohsC	ohsCp
ompA	ompAp2
ompA	ompAp1
ompC	ompCp1
ompC	ompCp2
ompC	ompCp3
ompF	ompFp
ompG	
ompL	ompLp1
ompR-envZ	ompRp1
ompR-envZ	ompRp3
ompR-envZ	ompRp4
ompR-envZ	ompRp2
ompW	ompWp
ompX	ompXp1
ompX	ompXp2
omrA	omrAp
omrB	omrBp
opgB	opgBp7
opgC	
opgD	opgDp4
opgD	opgDp8
opgD	opgDp9
opgD	opgDp7
opgE	ybiPp5
opgGH	mdoGp1
opgGH	mdoGp2
oppABCDF	oppAp
orn	ornp5
osmB	osmBp2
osmB	osmBp1
osmC	osmCp1
osmC	osmCp2
osmE	osmEp
osmF-yehYXW	osmFp2
osmF-yehYXW	osmFp
osmY	osmYp
otsA	otsAp
otsBA	otsBp
otsBA	otsBp2
oxyR	oxyRp
oxyS	oxySp
paaABCDEFGHIJK	paaAp
paaXY	paaXp
paaZ	paaZp
pabB-nudL	pabBp6
pabB-nudL	pabBp7
pabC-yceG-tmk-holB-ycfH	pabCp8
pabC-yceG-tmk-holB-ycfH	pabCp1
pabC-yceG-tmk-holB-ycfH	pabCp5
pagP	pagPp
panBC	panBp
panC	panCp4
panC	panCp2
panD	panDp
panE-yajL	
yajL	yajLp2
panZ	panZp7
panZ	panZp1
paoABCD	
parC	parCp4
patA	patAp
pbl	
pbpG	pbpGp7
pbpG	pbpGp5
pck	pckp
pcnB-folK	pcnBp2
pcnB-folK	pcnBp4
pcnB-folK	pcnBp3
pcnB-folK	pcnBp1
aceEF	aceEp
lpd	lpdAp
pdhR-aceEF-lpd	pdhRp
dedA	dedAp2
pdxB-usg-truA-dedA	pdxBp
usg-truA-dedA	usgp
pdxH-tyrS-pdxY	pdxHp
pdxY	pdxYp
tyrS-pdxY	tyrSp2
tyrS-pdxY	tyrSp1
pdxK	pdxKp1
pepA	pepAp3
pepA	pepAp2
pepA	pepAp1
pepB	
pepD	pepDp3
pepD	pepDp2
pepD	pepDp1
pepE	
pepN	pepNp
pepQ-yigZ-trkH-hemG	pepQp
pepT	pepTp
perR	
pfkA	pfkAp2
pfkA	pfkAp1
pfkB	pfkBp1
pfkB	pfkBp2
pflA	pflAp8
pflDC	pflDp4
pflDC	pflDp3
pflDC	pflDp2
pgaABCD	pgaAp
pgi	pgip
pgl	pglp2
pgpB	pgpBp7
pgpB	pgpBp5
pgpB	pgpBp4
pgpB	pgpBp6
pgpB	pgpBp8
pgpB	pgpBp9
pgpC-tadA	pgpCp
pgrR	ycjZp7
pgsA	pgsAp
pheLA	pheLp
pheP	phePp
pheU	pheUp
pheV	pheVp
phnCDE_1E_2FGHIJKLMNOP	phnCp
phnLMNOP	phnLp
phoA-psiF	phoAp
phoBR	phoBp
phoE	phoEp
phoH	phoHp1
phoH	phoHp2
phoPQ	phoPp2
phoPQ	phoPp1
phoPQ	phoPp3
phoQ	phoQp5
pinE	pinEp3
pinE	pinEp1
pinH	
pinQ	pinQp1
pinR	pinRp1
pitA	pitAp
pitB	pitBp
plaP	yeeFp2
pldA	pldAp
pldB-yigL	pldBp4
pldB-yigL	pldBp6
pliG	
plsB	plsBp2
plsB	plsBp
plsC	
pmbA	pmbAp
pmrD	pmrDp4
pmrD	pmrDp3
pncB	pncBp
pncC	pncCp
pntAB	pntAp
pntB	pntBp6
polA	polAp
polB	polBp
potABCD	
potD	potDp6
potD	potDp5
potFGHI	potFp1
potFGHI	potFp2
ltaE-ybjT	ltaEp
poxB	poxBp
poxB-ltaE-ybjT	
ppa	ppap
ppc	ppcp
ppdAB-ygdB-ppdC-recC	ppdAp
recC	recCp
ppdD-hofBC	ppdDp
pphA	pphAp
pphB	pphBp1
ppiA	ppiAp4
ppiA	ppiAp2
ppiA	ppiAp1
ppiA	ppiAp3
ppiB-lpxH	
ppiC	ppiCp
ppiD	ppiDp2
ppiD	ppiDp1
ppk-ppx	ppkp6
ppk-ppx	ppkp5
ppk-ppx	ppkp
pppA	pppAp3
ppsA	ppsp
ppsR	ppsRp1
ppsR	ppsRp6
ppsR	ppsRp8
pptA	pptAp6
pptA	pptAp7
pqiAB	pqiAp2
pqiAB	pqiAp1
pqqL	
preTA	yeiTp
prfC	prfCp2
prfC	prfCp4
priA	
priC-ybaM	
ybaM	ybaMp3
prkB	prkBp
prlC-rsmJ	prlCp
prlF-yhaV	sohAp
prmB-aroC-mepA-yfcA-epmC-yfcL	
yfcL	yfcLp5
proBA	proBp8
proBA	proBp11
proC	proCp
proK	proKp
proL	proLp
proP	proPp1
proP	proPp2
prc	prcp1
proQ-prc	
proS	proSp
proVWX	proVp2
proVWX	proVp1
proVWX	proVp3
prpBCDE	prpBp
prpR	prpRp
psd-mscM	psdp
psiE	psiEp
pspABCDE	pspAp
pspBCDE	pspBp
pspE	pspEp
pspF	pspFp3
pspF	pspFp1
pspF	pspFp2
pspG	pspGp
psrO	psrOp
pssA	pssAp4
pssA	pssAp6
phoU	phoUp
phoU	phoUp2
pstB-phoU	pstBp
pstB-phoU	pstBp1
pstCAB-phoU	pstCp
pstS	pstSp
pstSCA	pstSp
pstSCAB-phoU	pstSp
psuG	psuGp4
psuKG	
psuT	psuTp2
pth-ychF	pthp
ychF	ychFp
ptrA	ptrAp
ptrA-recBD	ptrAp
ptrB	ptrBp
gldA	gldAp4
ptsA-fsaB-gldA	
ptsG	ptsGp1
ptsG	ptsGp2
crr	crrp2
crr	crrpI
ptsHI-crr	ptsHp1
ptsHI-crr	ptsHp3
ptsHI-crr	ptsHp5
ptsHI-crr	ptsHp2
ptsHI-crr	ptsHp4
purA	purAp
purC	purCp
purEK	purEp
purD	purDp1
purHD	purHp
purL	purLp
purMN	purMp
purR	purRp
purT	purTp3
purT	purTp5
purU	purUp5
purU	purUp4
purU	purUp3
putA	putAp
putP	putPp1
putP	putPp4
putP	putPp3
putP	putPp2
putP	putPp5
puuAP	puuAp
puuP	puuPp
puuCBE	puuCp
puuDRCBE	puuDp
pykA	pykAp1
pykA	pykAp2
pykF	pykFp2
pykF	pykFp1
pykF	pykFp3
pykF	pykFp
pyrC	pyrCp
pyrD	pyrDp
eno	enop4
eno	enop3
eno	enop1
eno	enop6
eno	enop7
eno	enop2
pyrG-eno	pyrGp
pyrG-eno	pyrGp2
pyrG-eno	pyrGp1
pyrH	pyrHp
pyrLBI	pyrLp1
pyrLBI	pyrLp2
qmcA-ybbJ	qmcAp
ybbJ	ybbJp1
qor	qorp
qseBC	qseBp2
qseBC	qseBp1
queA	queAp
queC	
queD	
queE	queEp7
queF	queFp
queG	queGp
racC	racCp4
racC	racCp6
racR	racRp5
racR	racRp4
racR	racRp3
raiA	raiAp
rarD	rarDp2
rarD	rarDp1
rarD	rarDp3
rarD	rarDp4
rarD	rarDp5
ratAB	
ravA-viaA	ravAp
rayT	rayTp8
rayT	rayTp1
rbn	rbnp4
rbsDACBKR	rbsDp
rcdA	
rclA	ykgCp8
rclA	ykgCp4
rclABC	ykgCp1
rclBC	
rclC	ykgBp9
rclC	ykgBp10
rclC	ykgBp7
rclC	ykgBp3
rclC	ykgBp4
rclR	ykgDp2
rclR	ykgDp3
rcnAB	rcnAp
rcnB	rcnBp
rcnR	rcnRp
rcsA	rcsAp
rcsC	rcsCp4
rcsC	rcsCp5
rcsB	rcsBp2
rcsB	rcsBp1
rcsDB	rcsDp
rcsF-yaeB	
rdgC	
rdlA	rdlAp5
rdlB	rdlBp4
rdlC	rdlCp3
rdlD	rdlDp
dsbA	dsbAp
rdoA-dsbA	rdoAp
recA	recAp
recAX	recAp
intR	intRp4
recET-lar-rcbA-ydaQ-intR	
recN	recNp
recQ	recQp2
recQ	recQp1
mazEFG	mazEp2
mazEFG	mazEp1
mazG	mazGp4
relA-mazEF	relAp2
relA-mazEF	relAp1
hokD	
relBE	
relBE-hokD	relBp
rem	remp2
rem	remp1
emrE	
renD-emrE	
rep	rep
rfaD-waaFCL	rfaDp4
rfaD-waaFCL	rfaDp2
rfaD-waaFCL	rfaDp1
rfaD-waaFCL	rfaDp3
rfaE	rfaEp1
rfaH	rfaHp5
rfaH	rfaHp4
rfbACX	rfbAp
rfbBDACX	
rfbX	rfbXp5
rfbX	rfbXp7
rfbX	rfbXp8
rfbX	rfbXp6
rfe-wzzE-rffEDGHCA-wzxE-rffT-wzyE-rffM	rfep
rhaBAD	rhaBp
rhaD	rhaDp
rhaM	
rhaSR	rhaSp
rhaT	rhaTp
rhlB	
rhlE	rhlEp5
rhoL	rhoLp
rhoL-rho	rhoLp
rhsA-yibA	
yibA	yibAp
rhsB	rhsBp11
rhsB	rhsBp12
rhsB	rhsBp10
rhsB	rhsBp9
rhsB	rhsBp8
rhsB	rhsBp3
rhsC-ybfB	rhsCp3
rhsD-ybbC-ylbH-ybbD	rhsDp8
rhsE-ydcD	
rhtA	rhtAp8
rhtB	
rhtC	rhtCp2
ribA	ribAp2
ribA	ribAp1
ribC	ribCp5
ileS-lspA-fkpB-ispH	ileSp2
ileS-lspA-fkpB-ispH	ileSp3
ileS-lspA-fkpB-ispH	ileSp1
lspA-fkpB-ispH	lspAp
ribF-ileS-lspA-fkpB-ispH	ribFp
ridA	ridAp
rihA	rihAp3
rihB	rihBp
rihC	
rimJ	rimJp
rimL	rimLp
rimO	rimOp
rlmA	rlmAp9
rlmD	rlmDp
ftsH	ftsHp1
ftsH	ftsHp4
rlmE-ftsH	rlmEp2
rlmE-ftsH	rlmEp1
rlmF	rlmFp1
rlmF	rlmFp7
rlmG	rlmGp4
rlmI	rlmIp4
rlmJ	rlmJp
rlmL-uup	rlmLp
rlmM	
rlmN	
rluB	
rluC	
rluD-yfiH	
nudJ	nudJp6
rluE-nudJ	
rluF	rluFp6
rluF	rluFp1
rmf	rmfp
rmf	rmfp5
rmf	rmfp4
rmuC	
rna	rnap
rnb	rnbp2
rnb	rnbp1
acpS	acpSp2
acpS	acpSp3
pdxJ-acpS	pdxJp
rnc-era	rncp
rnc-era-recO-pdxJ-acpS	rncp
rnd	rndp
rne	rnep1
rne	rnep3
rne	rnep2
rne	rnep4
rnhA	rnhAp
rnk	rnkp7
rnk	rnkp6
rnlA	rnlAp
rnlAB	rnlAp2
rnlB	rnlBp2
rnlB	rnlBp
lhr	lhrp
rnt-lhr	
rob	robp
rodZ	rodZp2
rodZ	rodZp1
pyrE	pyrEp4
rph	rphp1
rph-pyrE	rphp1
rpiA	rpiAp
rpiB	rpiBp
alsBACE	alsBp
alsE	alsEp2
alsE	alsEp3
rpiR-alsBACE	alsRp1
rpiR-alsBACE	alsRp2
rplJL-rpoBC	rplJp
rplKAJL-rpoBC	rplKp
rplL	rplLp
rpoBC	rpoBp
rplM-rpsI	rplMp
rpsI	rpsIp2
rplNXE-rpsNH-rplFR-rpsE-rpmD-rplO-secY-rpmJ	rplNp
rplU-rpmA	rplUp
rpmA	rpmAp4
rplY	rplYp5
rplY	rplYp6
rplY	rplYp3
rpmE	rpmEp
rpmH-rnpA	rpmHp3
rpmH-rnpA	rpmHp2
rpmH-rnpA	rpmHp1
rpoE-rseABC	rpoEp2
rpoE-rseABC	rpoEp1
rseABC	rseAp3
rpoH	rpoHp5
rpoH	rpoHp6
rpoH	rpoHp3
rpoH	rpoHp1
rpoH	rpoHp4
recG	
rpoZ-spoT-trmH-recG	rpoZp
rppH-ptsP	rppHp
rprA	rprAp
rpsF-priB-rpsR-rplI	rpsFp
rpsJ-rplCDWB-rpsS-rplV-rpsC-rplP-rpmC-rpsQ	rpsJp
fusA-tufA	fusAp
rpsLG-fusA-tufA	rpsLp
tufA	tufAp2
tufA	tufAp1
rpsMKD-rpoA-rplQ	rpsMp2
rpsMKD-rpoA-rplQ	rpsMp1
rplS	rplSp1
rpsP-rimM-trmD-rplS	rpsPp
rpsT	rpsTp1
rpsT	rpsTp2
rpoD	rpoDp2
rpoD	rpoDp1
rpoD	rpoDp3
rpoD	rpoDp4
rpsU	rpsUp1
rpsU-dnaG-rpoD	rpsUp2
rpsU-dnaG-rpoD	rpsUp3
rpsU-dnaG-rpoD	rpsUp1
rraB	rraBp2
rraB	rraBp1
rrlA-rrfA	rrlAp
rrsA-ileT-alaT-rrlA-rrfA	rrsAp2
rrsA-ileT-alaT-rrlA-rrfA	rrsAp1
rrlB-rrfB	rrlBp
rrsB-gltT-rrlB-rrfB	rrsBp2
rrsB-gltT-rrlB-rrfB	rrsBp1
rrsC-gltU-rrlC-rrfC	rrsCp1
rrsC-gltU-rrlC-rrfC	rrsCp2
rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF	rrsDp1
rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF	rrsDp2
thrV-rrfF	rrfFp2
rrlE-rrfE	rrlEp
rrsE-gltV-rrlE-rrfE	rrsEp2
rrsE-gltV-rrlE-rrfE	rrsEp
rrfG	rrfGp
rrsG-gltW-rrlG-rrfG	rrsGp2
rrsG-gltW-rrlG-rrfG	rrsGp1
rrlH-rrfH	rrlHp
rrsH-ileV-alaV-rrlH-rrfH	rrsHp1
rrsH-ileV-alaV-rrlH-rrfH	rrsHp2
rsd	rsdp2
rsd	rsdp1
rseP	rsePp
rseX	rseXp
rlpA	rlpAp7
rlpA	rlpAp5
rsfS-rlmH-mrdAB-rlpA	rsfAp
rsgA	rsgAp12
rsmB	rsmBp4
rsmC	rsmCp3
rsmC	rsmCp1
rsmD-yhhL	rsmDp1
rsmD-yhhL	rsmDp11
rsmD-yhhL	rsmDp2
rsmE-gshB	rsmEp1
rsmE-gshB	rsmEp4
rsmF	
rsmI	rsmIp8
rsmI	rsmIp6
rspAB	
rssAB	rssAp
rssB	rssBp
rstAB	rstAp
rsuA	rsuAp3
rsuA	rsuAp2
rtcA	rtcAp1
rtcA	rtcAp6
rtcA	rtcAp2
rtcBA	rtcBp
rtcR	rtcRp
rtn	rtnp1
rttR	
rutABCDEFG	rutAp
rutG	rutGp2
rutR	rutRp2
rutR	rutRp
ruvAB	ruvAp2
ruvAB	ruvAp1
ruvB	ruvBp1
ruvB	ruvBp3
ruvB	ruvBp4
rybA-mntS	rybAp
rybB	rybBp
rydB	rydBp2
rydB	rydBp1
rydC	rydCp
ryeA	ryeAp
ryfA	ryfAp11
ryfD	ryfDp
ryhB	ryhBp
ryjA	ryjAp
ryjB	ryjBp
rzoD	
rzoR	
sad	sadp5
safA-ydeO	safAp
ydeO	ydeOp
sanA-yeiS	sanAp3
sapABCDF	
sapF	sapFp5
satP	
sbcB	sbcBp
sbcC	sbcCp2
sbcDC	sbcDp
sbmA-yaiW	sbmAp
sbmC	sbmCp1
sbmC	sbmCp2
sbp	
scpA-argK-scpBC	
sdaA	sdaAp
sdaCB	sdaCp
sdhCDAB-sucABCD	sdhCp
sdhDAB	sdhDp2
sucAB	sucAp
sucABCD	sucAp
sdhE-cptA	cptBp
sdiA	sdiAp1
sdiA	sdiAp3
sdiA	sdiAp4
sdiA	sdiAp6
sdiA	sdiAp2
sdiA	sdiAp8
sdsR	ryeBp
gpsA	gpsAp8
gpsA	gpsAp5
secB-gpsA	
secE-nusG	secEp
leuU	leuUp
secG	
secG-leuU	secGp1
secG-leuU	secGp2
secMA-mutT	
selAB	selAp
selB	selBp5
selC	selCp
seqA-pgm	seqAp
serA	serAp2
serA	serAp1
radA-nadR	
serB	
serB-radA	serBp
serC	serCp
serC-aroA	serCp
serS	serSp
serT	serTp
serU	serUp
argQ	argQp
serV-argVYZQ	serVp
serW	serWp
serX	serXp
setB	setBp3
setB	setBp2
setC	setCp12
setC	setCp10
setC	setCp13
setC	setCp14
sfmA	sfmAp6
sfmA	sfmAp4
sfmCD	sfmCp4
sfmCD	sfmCp5
sfmHF	
dksA-gluQ	dksAp3
dksA-gluQ	dksAp2
dksA-gluQ	dksAp1
gluQ	gluQp1
sfsA-dksA	sfsAp
sfsB	sfsBp3
sfsB	sfsBp2
sgcXBCQAER	
sgrR-sroA-tbpA-thiPQ	sgrRp
sroA	sroAp
thiQ	thiQp2
sgrST-setA	sgrSp
shiA	shiAp
shiA	shiAp11
shoB	shoBp
sibA	sibAp
sibB	sibBp
sibC	sibCp
sibD	sibDp
sibE	sibEp
sieB	
sixA	sixAp
slp-dctR	slpp
slt	sltp7
slyA	slyAp13
slyA	slyAp14
slyA	slyAp10
slyB	slyBp1
slyB	slyBp2
slyD	slyDp7
slyD	slyDp6
slyD	slyDp5
slyX	slyXp4
smf	smfp
smg	
smpB	smpBp5
smrA	smrAp1
smrB	smrBp4
smrB	smrBp6
smtA-mukFEB	smtAp
sodA	sodAp
sodB	sodBp
sodC	sodCp
sohB	sohBp1
sohB	sohBp2
sokB	sokBp3
sokC	
solA-yceO	solAp
yceO	yceOp1
yceO	yceOp7
yceO	yceOp8
soxR	soxRp
soxS	soxSp
speAB	speAp
speB	speBp
speC	speCp
potE	potEp1
speF-potE	
spf	spfp
sppA	sppAp6
spy	spyp
sraA	
sraB	psrDp
srlAEBD-gutM-srlR-gutQ	srlAp
srlR	srlRp
srmB	srmBp4
sroG-ribB	sroGp2
sroH	sroHp
ssb	ssbp2
ssb	ssbp3
ssb	ssbp1
sseA	sseAp
sseB	
sspAB	sspAp
ssrA	ssrAp2
ssrA	ssrAp
ssrS	ssrSp2
ssrS	ssrSp1
ssrS-fau	ssrSp1
ssrS-fau	ssrSp2
sstT	sstTp
ssuB	ssuBp3
ssuEADCB	ssuEp
stfE-tfaE	
tfaE	tfaEp1
tfaE	tfaEp6
sthA	sthAp
stpA	stpAp2
stpA	stpAp1
stpA	stpAp3
sufABCDSE	sufAp
sufE	sufEp3
sugE	sugEp
suhB	
sulA	sulAp
sxy	
syd	sydp2
symE	symEp
symR	symRp
tabA	tabAp4
tabA	tabAp5
tag-yiaC	
talA	talAp
talA-tktB	talAp2
talA-tktB	talAp1
tktB	tktBp
talB	talBp
