TU	Promoter
chiP-ybfN	ybfMp
ybfN	
cho	chop
chpSB	chpSp1
chpSB	chpSp2
cirA	cirAp2
cirA	cirAp1
citCDEFXG	citCp1
citCDEFXG	citCp2
citT	citTp4
citT	citTp6
clcA	clcAp10
clcB	
clpA	clpAp2
clpA	clpAp3
clpA	clpAp1
clpB	clpBp
clpPX	clpPp3
clpPX	clpPp1
clpPX	clpPp2
clpX-lon	clpXp
lon	lonp
clpS	clpSp7
clpS	clpSp6
clsA-yciU	clsAp
yciU	yciUp6
yciU	yciUp4
yciU	yciUp5
cmk-rpsA	cmkp
ihfB	ihfBp
rpsA-ihfB	rpsAp1
rpsA-ihfB	rpsAp3
cmtBA-yggPFDC	
yggC	yggCp1
yggDC	yggDp
cnu	cnup7
cnu	cnup10
cnu	cnup9
cnu	cnup8
coaA	coaAp
coaE-zapD-yacG	
yacG	yacGp
cobT	cobTp8
cobUST	cobUp1
cobUST	cobUp2
codBA	codBp
cof	
comR	comRp3
comR	comRp
copA	copAp
corA	corAp
cpdB	cpdBp
cpxP	cpxPp
cpxA	cpxAp1
cpxRA	cpxRp
cra	fruRp8
crcB	crcBp4
crcB	crcBp3
creABC	creAp2
creABCD	creAp
creD	creDp
crfC-yjcZ	yjdAp2
crfC-yjcZ	yjdAp1
crl	crlp2
crl	crlp1
crp	crpp3
crp	crpp2
crp	crpp1
csdAE	csdAp3
csgBAC	csgBp
csgC	csgCp
csgDEFG	csgDp2
csgDEFG	csgDp1
csgG	csgGp1
csiD-lhgO-gabDTP	csiDp
gabDTP	gabDp1
gabDTP	gabDp2
csiE	csiEp
csiR	csiRp5
csiR	csiRp3
cspA	cspAp1
cspA	cspAp2
cspB	cspBp
cspD	cspDp
cspE	cspEp2
cspE	cspEp1
cspF	cspFp7
cspF	cspFp6
cspF	cspFp8
cspG	cspGp
cspH	cspHp9
cspH	cspHp15
cspH	cspHp14
cspH	cspHp13
cspH	cspHp12
cspH	cspHp10
cspH	cspHp8
cspI	cspIp2
cspI	cspIp
csrA	csrAp4
csrA	csrAp3
